size_m2,bedrooms,sold
103.14325552733483,5,no
96.69737841771746,5,yes
116.01056626108205,2,no
102.622502928826,4,yes
86.60826567097223,1,no
109.03987637273711,2,yes
132.60000112825344,3,yes
123.67702407823106,5,yes
82.40661910482518,4,yes
68.36446322384869,3,yes
84.4181384365662,2,no
101.03314948368109,4,yes
41.87423063402914,3,no
94.53020840168635,3,yes
68.85222631867337,4,yes
81.69331613241371,1,no
86.39352542856726,5,yes
92.09249609077114,2,no
110.29076340935332,3,yes
126.06283423606693,3,yes
96.78663342639915,1,no
134.16158676374215,1,yes
83.37013316283466,3,no
108.78775175232549,1,no
122.58675454129522,4,yes
102.35030744402187,3,no
81.41251876615479,2,no
76.95686559353952,4,yes
88.55685435831653,2,no
105.50487808675123,4,no
74.7595454115316,2,no
94.77061062820718,2,no
96.01937475213806,4,no
113.5211396171452,4,yes
105.36647806265852,4,yes
108.88431772599803,3,no
83.65428476454152,2,yes
96.75965915768076,5,no
119.59938675153323,5,yes
137.33577863051903,4,yes
68.523361697397,2,no
137.84809436847655,5,yes
133.6468855945576,3,yes
119.53278501751069,2,yes
106.61139075823259,4,yes
92.1519296365893,1,no
136.45051708842396,3,yes
149.00645791124913,1,yes
145.04087174665312,1,yes
132.87759411835924,3,yes
108.9345102664739,3,yes
69.7920341929457,3,no
99.88864667199792,1,no
116.41187337690839,1,no
67.79096340626114,1,no
109.8780515045502,4,no
110.74659237055575,1,no
117.40106809907171,5,yes
70.39705083107027,2,no
83.45743569902413,2,no
89.08911882141948,2,no
70.7549523056784,3,no
143.48419692825334,2,yes
87.6022317889462,3,no
108.22424073650505,2,no
93.5356863631519,4,no
139.58682197005305,5,yes
133.00902467704597,1,yes
115.83381557062287,1,no
44.91225298383373,2,no
101.30072435649716,2,no
117.09215476941336,4,yes
125.09903939605424,4,yes
84.55232388230998,3,no
145.55028408320808,5,yes
66.98922574966767,5,yes
83.46179945461952,5,yes
123.37624970285056,3,yes
101.22636534563279,3,no
150.05981459113138,3,yes
104.71297981281164,2,no
84.17014774519433,2,no
90.56091236917979,4,no
72.72134705952011,2,no
68.0579958403348,1,no
115.7602872692058,4,yes
114.52914531032015,3,yes
132.36397048602794,2,yes
81.13485521850173,2,no
142.22768631109182,5,yes
92.81530730478335,1,no
139.36020697111468,2,yes
89.18035382043509,3,yes
81.61291769144313,4,no
106.24463428896667,3,yes
125.7863271217368,3,yes
104.02523941788361,4,yes
85.36177939691659,4,no
66.46950714808327,4,no
64.9619946270643,5,no
112.56707124687165,4,yes
124.74282583214513,1,no
95.89263518436773,5,yes
73.14087854428914,1,no
121.82605381554266,5,yes
67.99015138213568,1,no
82.1732976235182,5,yes
115.52544633850246,1,yes
43.746470660635204,5,no
109.65923993915764,3,yes
85.45897908976242,3,no
102.73199243694535,1,no
98.10746184447942,1,no
105.05285987609899,5,yes
117.35429841767521,2,yes
81.04075622753977,1,no
135.5245505577979,3,yes
118.15234472369413,2,no
121.0933165575817,3,no
129.12159952777571,3,yes
119.68970554264673,1,no
121.1019670144648,2,yes
101.88984026857213,2,no
64.3306537252567,2,no
96.62387249907465,3,yes
80.76213399558236,2,no
64.43145578711466,5,no
106.4613197728247,2,no
85.78626364630894,3,no
74.25488904971341,5,no
73.92497299821086,5,no
106.71042699272287,3,no
108.96679872925861,2,no
133.06143674417083,2,yes
99.65213328689765,2,no
126.04599398032056,4,yes
135.05662066931305,4,yes
128.7541409037423,4,yes
40.86740234307564,4,no
130.71709298008554,4,yes
108.49050020621607,2,no
110.59428382133368,1,no
109.28068544340647,3,yes
109.56892900676903,3,yes
107.98535550630952,5,yes
91.02716728653449,4,yes
52.45911754060014,2,no
97.27713180231441,4,yes
79.90670378698309,4,no
127.00408531344713,3,no
92.78083735011556,5,no
102.08688390267524,1,no
78.75985110974642,3,no
87.23443830254683,1,no
99.71167345783533,4,yes
62.86562039341137,2,no
107.51712785736514,4,yes
97.34819366380623,5,yes
70.35700487486916,5,yes
40.044178365055714,3,no
112.82630334700762,4,no
92.56039902641675,5,yes
86.74978966954605,1,no
94.09613425367645,3,no
145.4118985220286,2,yes
98.75497577350892,4,yes
102.16548157471355,5,yes
62.82317825811505,3,no
141.1834766589025,3,yes
122.93719958610735,4,yes
126.67337167512947,2,yes
101.19181828029198,2,no
122.9163697206149,1,no
109.27367087736026,5,yes
115.32972694647516,3,yes
96.19517603979274,2,no
63.15280129895102,4,no
125.72135869507957,1,no
51.62600908475732,2,no
94.0015832185491,4,no
94.88693779000847,5,yes
73.92849647538739,4,no
115.3280784084145,1,no
94.9917574647608,4,no
89.07829186006796,4,yes
112.99604327444104,4,yes
88.08552398603966,1,no
134.72449937095772,3,yes
108.78637690468284,2,no
88.14167532913902,1,no
51.393375600361395,5,yes
67.30617007747131,4,no
127.17076961920908,5,yes
98.73489842221645,1,no
92.92187335801164,3,no
141.08129035606743,1,yes
67.93376889815254,5,yes
85.35855500396602,3,yes
88.1853080810379,4,no
114.65843203828251,2,yes
83.41162004239882,5,yes
84.6645537846493,1,no
59.87126507787216,1,no
118.23373510044641,3,no
120.15348396287555,3,yes
88.09058131497095,4,no
104.08349863853246,5,yes
67.68384693101646,2,no
88.20467113147745,5,yes
134.44877381806302,4,yes
103.39326835167836,3,no
157.7590871698972,2,yes
80.32018144607106,4,yes
114.50711041810769,1,no
95.11235430417244,1,no
114.14544617070233,4,yes
99.81971600853109,2,yes
85.97004723977102,4,no
78.30958089195744,3,no
176.65091847622242,3,yes
98.06637350689459,3,no
49.58348274416887,1,no
83.78498480241663,2,no
116.95099317809992,4,yes
87.49978917038129,2,no
134.01115506213145,4,yes
125.05995682109895,5,yes
96.19153410439411,1,no
88.19460143059892,1,no
74.87997482430758,4,no
82.50083644216689,2,no
63.17142313335937,2,no
130.10990728832712,5,yes
139.76751967815156,5,yes
68.59654825680667,5,yes
70.45792560783842,4,yes
55.787203572827075,1,no
75.90364423169565,2,no
22.341579967917713,4,no
71.44302608420202,5,no
132.4228849950131,2,yes
91.35818676338837,1,no
121.3646058713352,4,yes
87.77577340394888,1,no
144.01668242482808,5,yes
104.98044957534643,2,yes
90.44994269641299,1,no
163.81060063427702,4,yes
91.88820359286402,2,no
69.4694162568466,3,no
105.04775004900274,5,yes
99.029124036048,3,no
126.65811382915642,2,yes
76.95915188755473,2,no
120.11792328698743,3,yes
121.31871176435727,4,yes
83.30781770162324,4,no
104.08110014306695,1,yes
79.23120107864156,3,no
158.6452018460167,2,yes
82.39651094299583,2,no
88.67313890828214,5,no
73.35404945091562,5,no
91.34696812067067,3,no
99.8530993325774,2,no
119.19472838361716,5,yes
84.73783384835751,5,yes
95.35565103321036,4,yes
64.58776583964895,3,no
79.31494433084612,4,no
168.89518895689878,2,yes
126.0310797923699,1,no
80.46439895806712,5,no
66.56506896179272,2,no
75.61042923500855,4,yes
99.45772851215662,2,yes
100.86819470897976,5,yes
81.3909849767286,3,no
67.8356383315589,3,no
135.55946263121115,3,yes
111.2921362823774,5,yes
90.63579951080162,5,yes
94.48346980459783,3,yes
86.76173852185828,1,no
26.598863849572187,2,no
102.89154567731565,5,yes
73.23638975760585,5,no
74.93289252417951,5,yes
83.99343986524066,5,yes
118.30754286778243,1,no
70.73672978980792,3,no
64.14296350814695,1,no
115.99630187930946,1,no
118.85922261598877,2,yes
76.02665730514445,3,no
114.05994193232398,3,no
92.7091892396312,3,yes
107.532304413839,5,yes
68.47599299836165,5,no
120.82236123402087,1,no
130.08147385291244,2,yes
115.92683089065459,4,yes
113.95849904237858,2,no
5.693121096931653,3,no
106.51574372667349,3,yes
99.36386708268641,1,yes
96.32386232884167,3,yes
84.2355502507245,2,no
101.38412437283884,3,yes
110.30293512820835,2,no
93.40529598648438,1,no
88.41689650725323,2,no
130.74384527348178,4,yes
72.36582231827187,2,no
125.75387994559692,5,yes
104.42031159326312,3,yes
79.89235886793932,2,no
92.75045259826716,5,no
77.00015992969507,1,no
116.87661296023599,3,yes
108.6975440492618,5,no
86.08009562117047,5,yes
72.44454252364443,5,no
107.54290233752677,1,no
123.93464017104829,3,yes
97.15409126545296,1,no
110.45881252223057,3,yes
90.59932123625643,1,no
101.68923015023569,2,no
92.71792721515779,4,yes
107.3510535743745,5,yes
62.255687174106825,2,no
116.10476307974223,3,yes
94.25168795991713,3,no
108.96520169123463,4,no
91.49224681334478,4,yes
108.0090297343526,5,yes
73.18592989677697,2,no
129.72886031221157,3,yes
57.411385309067555,2,no
74.01902963052035,1,no
105.89165173849085,4,no
136.57105712961442,3,yes
106.95315754520077,3,yes
93.80228861802284,3,yes
64.3727464189184,1,no
95.2180833892467,4,yes
99.50307472394766,1,yes
142.26421613348492,1,yes
115.55313054014455,4,yes
61.77267812678884,2,no
150.66947738107982,5,yes
90.12475311253017,5,yes
78.01350713239208,5,no
136.87056630217273,1,yes
98.7561059925758,3,yes
90.81493501554753,5,yes
105.46964972338078,1,no
121.1222195093929,5,yes
124.83340511124126,2,yes
65.61993999868149,2,no
149.96203675679322,3,yes
123.67153969989064,3,yes
90.51997344967121,5,yes
79.5335037119646,5,yes
75.77468923104485,4,yes
103.08446093940456,3,yes
83.79959264525932,2,yes
80.878150867837,2,no
120.28136012354089,4,yes
109.11418359565809,2,no
90.13571853940722,3,no
118.35618990463432,2,no
134.18446565764177,5,yes
72.63759218425885,3,no
84.91770289644381,3,no
123.56554600549693,5,yes
117.97351414537636,5,yes
105.6674714109498,1,yes
129.06052968896142,1,yes
72.79470677202256,5,yes
63.0215541557224,4,no
78.33731606807754,5,yes
103.06360238840101,2,no
80.09783062262241,2,no
87.81954608938271,3,yes
75.62499702249247,1,no
84.48927138512744,1,no
74.88031952517514,4,yes
109.18665514364032,5,yes
119.87227669958048,2,yes
87.98885151204472,1,no
94.81835511323304,5,yes
85.47418568720212,3,no
113.28128039090473,4,yes
102.2264009684805,3,no
139.85392250845536,4,yes
72.61319908406166,5,no
109.06256247977619,1,no
111.09978499116673,3,no
90.98899572522755,5,yes
114.58835318456859,5,yes
64.03693377523904,5,no
152.97007576823302,3,yes
66.44888866783896,2,no
122.9951815141247,5,yes
71.97193302651942,5,yes
128.7720757807938,4,yes
90.38064933477494,3,yes
103.96057267905528,5,yes
101.33359389266836,2,no
127.51835237561987,5,yes
91.96131374642684,4,yes
25.820407250401413,5,no
80.99853024838916,4,no
104.59280807722371,1,no
88.98829487824345,1,no
119.24552128301995,1,no
125.38317489936172,5,yes
96.30570475250475,4,yes
62.7588651404372,5,yes
134.60412775014743,2,yes
127.07633750267044,3,yes
92.5202216433244,2,no
152.7072102848188,4,yes
91.27811349768339,1,no
71.57200698954061,4,yes
96.10316415622486,4,yes
126.94584288764426,4,yes
76.56366393643711,5,yes
148.7806269435862,5,yes
77.58684463569858,1,no
123.86055690953101,5,yes
113.61155935507942,3,yes
96.14857351042942,5,yes
127.01332446794393,2,yes
62.50503027829513,1,no
133.93929467332973,4,yes
98.40789927574396,1,no
86.43911875341216,3,no
118.72935120100203,4,yes
126.4974753399811,4,yes
119.24488576559041,1,yes
149.98759552612466,3,yes
127.01815190125245,1,yes
132.08766581051015,5,yes
86.50340157058713,3,no
102.66309442655074,3,yes
114.07456455813806,3,no
99.55644408241766,5,yes
107.5408808293309,4,no
110.65261915336421,3,no
121.10609794203839,4,yes
97.45977773074941,1,no
91.25501961520297,2,no
79.29210874458623,4,yes
77.70669184644322,5,no
129.31128068365808,2,no
97.88696279993869,3,yes
119.67360952726358,3,yes
67.56590384143121,5,no
51.54579730402043,4,no
73.77271922500091,3,no
128.66567418773764,1,no
126.70193599581148,3,yes
108.30096519630213,1,no
79.94574624600101,4,no
96.72993396085364,5,yes
92.55598800502669,3,no
91.37566634761708,5,yes
37.348254067109195,2,no
78.55184035094507,1,no
95.24727810794413,2,no
137.91069474530235,5,yes
104.01857647829361,4,yes
135.0222071565702,2,yes
90.15732728101385,4,no
93.68278546880481,2,no
2.514456748641525,2,no
111.58325848017547,4,yes
113.67739153348334,2,no
144.09397673898434,4,yes
87.83096973017928,5,yes
102.35385390492617,5,yes
82.36180113197291,5,yes
70.59357337699296,1,no
82.17230083157604,3,yes
91.37503689785531,4,no
133.88595071674533,5,yes
100.05529006433446,3,yes
80.2363797583031,2,no
103.54694570604333,2,no
105.43928388900086,3,yes
83.09419860062597,4,yes
128.58084066573986,1,no
52.791277725583754,5,no
94.66138429792534,5,no
116.62665164073114,2,yes
66.53918701307863,5,no
109.03134371608442,1,no
