listed_on,agent_note,size_m2,price
2024-01-01,viewing arranged for flat 0,82,200901.88
2024-01-02,viewing arranged for flat 1,246,389689.04
2024-01-03,viewing arranged for flat 2,62,210200.43
2024-01-04,viewing arranged for flat 3,161,247351.88
2024-01-05,viewing arranged for flat 4,119,354691.55
2024-01-06,viewing arranged for flat 5,122,352918.95
2024-01-07,viewing arranged for flat 6,207,246722.08
2024-01-08,viewing arranged for flat 7,134,264516.58
2024-01-09,viewing arranged for flat 8,110,151893.44
2024-01-10,viewing arranged for flat 9,127,195499.08
2024-01-11,viewing arranged for flat 10,223,228084.45
2024-01-12,viewing arranged for flat 11,158,249660.39
2024-01-13,viewing arranged for flat 12,220,230600.77
2024-01-14,viewing arranged for flat 13,297,259137.64
2024-01-15,viewing arranged for flat 14,153,381562.09
2024-01-16,viewing arranged for flat 15,196,277860.45
2024-01-17,viewing arranged for flat 16,257,268522.43
2024-01-18,viewing arranged for flat 17,140,250109.58
2024-01-19,viewing arranged for flat 18,124,239685.54
2024-01-20,viewing arranged for flat 19,158,323976.68
2024-01-21,viewing arranged for flat 20,202,190524.31
2024-01-22,viewing arranged for flat 21,194,242465.23
2024-01-23,viewing arranged for flat 22,180,184253.37
2024-01-24,viewing arranged for flat 23,88,255227.78
2024-01-25,viewing arranged for flat 24,58,257143.02
2024-01-26,viewing arranged for flat 25,167,305230.39
2024-01-27,viewing arranged for flat 26,130,321859.7
2024-01-28,viewing arranged for flat 27,49,289783.86
2024-01-29,viewing arranged for flat 28,186,347335.56
2024-01-30,viewing arranged for flat 29,83,345310.2
2024-01-31,viewing arranged for flat 30,293,268921.52
2024-02-01,viewing arranged for flat 31,241,272400.81
2024-02-02,viewing arranged for flat 32,243,133823.1
2024-02-03,viewing arranged for flat 33,225,269214.59
2024-02-04,viewing arranged for flat 34,165,249694.51
2024-02-05,viewing arranged for flat 35,122,148690.29
2024-02-06,viewing arranged for flat 36,91,224116.84
2024-02-07,viewing arranged for flat 37,108,307445.44
2024-02-08,viewing arranged for flat 38,110,175673.54
2024-02-09,viewing arranged for flat 39,223,327577.07
2024-02-10,viewing arranged for flat 40,51,278487.96
2024-02-11,viewing arranged for flat 41,299,236296.71
2024-02-12,viewing arranged for flat 42,191,241460.36
2024-02-13,viewing arranged for flat 43,136,299795.63
2024-02-14,viewing arranged for flat 44,150,164116.34
2024-02-15,viewing arranged for flat 45,196,372445.72
2024-02-16,viewing arranged for flat 46,211,201194.83
2024-02-17,viewing arranged for flat 47,244,204083.01
2024-02-18,viewing arranged for flat 48,178,323246.09
2024-02-19,viewing arranged for flat 49,42,297403.14
2024-02-20,viewing arranged for flat 50,148,329523.5
2024-02-21,viewing arranged for flat 51,243,312758.86
