size_m2,bedrooms,city,has_garden,price
132,4,Sevilla,False,257543.81
64,2,Bilbao,False,242073.71
177,4,Valencia,False,288425.36
296,3,Madrid,True,256294.01
98,3,Bilbao,False,217859.84
109,3,Madrid,True,271695.7
242,1,Bilbao,True,328240.0
89,2,Madrid,False,306824.86
84,4,Sevilla,False,207775.89
96,2,Sevilla,False,174074.71
190,4,Valencia,True,212603.53
170,5,Valencia,True,252479.56
179,1,Madrid,True,110498.15
47,1,Valencia,False,236872.5
214,4,Madrid,True,175245.34
121,2,Bilbao,False,206063.96
237,2,Madrid,True,217344.46
256,5,Madrid,True,231021.99
68,5,Sevilla,False,274697.83
116,5,Bilbao,True,312550.8
202,4,Bilbao,False,242287.92
85,1,Bilbao,True,331987.81
147,2,Sevilla,False,210088.32
131,4,Bilbao,True,271090.6
199,5,Sevilla,False,304208.21
233,2,Bilbao,False,255640.74
220,1,Madrid,False,205390.05
122,4,Madrid,False,194696.48
192,1,Madrid,False,222536.45
248,5,Madrid,True,263211.71
230,2,Madrid,True,189422.91
244,1,Bilbao,False,237449.47
175,4,Sevilla,True,240446.5
191,2,Bilbao,True,282450.74
160,3,Madrid,True,262879.55
199,5,Bilbao,False,271322.36
114,3,Valencia,False,210770.28
159,2,Madrid,True,242223.18
99,2,Madrid,False,297038.53
171,3,Sevilla,True,339605.87
220,4,Sevilla,True,174456.07
244,4,Valencia,False,340835.43
220,1,Bilbao,True,330752.53
85,3,Madrid,True,296878.68
90,2,Valencia,True,265867.34
137,2,Sevilla,False,231164.63
292,5,Bilbao,True,337481.24
47,5,Bilbao,False,367615.5
214,3,Bilbao,True,358098.09
116,2,Valencia,False,328906.23
178,5,Madrid,False,271442.82
62,5,Valencia,False,177500.88
258,4,Sevilla,False,249732.75
266,3,Madrid,False,289388.5
166,4,Sevilla,False,172698.31
242,2,Valencia,True,273707.32
163,1,Sevilla,True,275791.82
229,5,Bilbao,False,291762.56
107,2,Bilbao,True,178952.92
122,4,Valencia,True,210297.85
80,2,Sevilla,True,223813.89
158,5,Valencia,False,179811.89
225,3,Madrid,False,354362.07
243,3,Valencia,False,220245.36
259,3,Valencia,True,269738.18
89,5,Bilbao,True,234485.65
216,5,Sevilla,True,345008.37
110,3,Sevilla,False,
135,1,Bilbao,False,288001.16
136,2,Bilbao,False,117789.41
189,5,Sevilla,True,253121.74
192,5,Valencia,False,291021.17
186,5,Madrid,False,310237.69
56,5,Bilbao,False,212925.58
283,1,Valencia,True,359320.68
261,3,Valencia,True,170774.14
140,1,Bilbao,False,210308.32
188,1,Sevilla,False,306103.0
82,2,Valencia,True,252943.28
205,3,Bilbao,True,370143.56
268,3,Bilbao,False,261311.15
281,3,Bilbao,True,212008.35
272,5,Madrid,True,227346.19
54,5,Bilbao,True,184531.23
52,1,Valencia,True,173339.19
231,2,Sevilla,True,287824.69
91,4,Bilbao,False,284869.95
89,2,Bilbao,True,327673.53
205,3,Madrid,True,204723.65
55,3,Valencia,False,351346.45
245,1,Sevilla,False,232756.74
86,3,Valencia,True,344464.5
197,2,Sevilla,False,224032.85
203,3,Valencia,True,205871.0
89,2,Valencia,False,264987.12
144,1,Madrid,True,311887.19
70,2,Valencia,True,259660.57
295,4,Sevilla,True,214868.27
171,2,Bilbao,False,169526.82
78,5,Valencia,False,165908.79
252,3,Sevilla,True,280160.97
232,2,Bilbao,False,309382.78
96,5,Sevilla,True,240142.32
128,1,Bilbao,True,185538.11
59,3,Sevilla,False,302382.53
184,5,Sevilla,False,173176.36
183,5,Madrid,False,207215.91
53,5,Valencia,True,287261.07
89,1,Madrid,True,114991.53
158,3,Sevilla,False,273182.18
57,1,Valencia,False,215101.55
232,3,Madrid,False,256556.78
241,1,Bilbao,False,245457.91
224,2,Sevilla,True,262126.86
253,4,Sevilla,False,291650.32
248,5,Bilbao,False,204497.81
143,2,Sevilla,True,335258.92
156,3,Sevilla,False,293565.63
116,3,Valencia,True,300623.96
84,4,Madrid,False,319891.84
112,4,Bilbao,False,297255.29
228,5,Valencia,True,300644.72
133,2,Valencia,False,254535.62
299,3,Sevilla,True,164393.57
189,2,Valencia,True,241897.29
212,1,Valencia,True,203829.12
177,4,Valencia,True,164635.49
247,3,Sevilla,True,265507.17
132,3,Sevilla,False,215887.03
199,3,Sevilla,False,188211.73
205,1,Valencia,True,187419.94
265,4,Madrid,True,266105.02
215,1,Valencia,True,271520.32
195,1,Sevilla,True,329347.45
185,4,Valencia,True,249165.12
54,2,Sevilla,True,312510.39
140,5,Sevilla,False,334135.89
121,5,Sevilla,False,319009.94
202,5,Bilbao,True,108081.77
122,1,Sevilla,True,323721.02
193,3,Sevilla,False,270377.2
169,5,Bilbao,False,275426.28
128,1,Valencia,True,272273.65
171,5,Valencia,False,272965.43
118,2,Madrid,False,269164.85
96,2,Madrid,True,228465.2
181,3,Bilbao,True,135901.88
297,3,Valencia,True,243465.12
199,5,Bilbao,False,201776.09
200,5,Sevilla,True,314809.8
198,4,Valencia,True,232674.01
269,3,Madrid,True,255008.52
139,2,Sevilla,True,199023.64
150,2,Bilbao,False,219362.65
187,4,Madrid,True,249308.02
185,2,Valencia,False,160877.49
296,3,Bilbao,False,268041.11
86,2,Madrid,True,243635.66
151,5,Valencia,True,178856.81
94,3,Valencia,True,106106.03
259,3,Sevilla,True,280783.13
183,5,Madrid,False,232144.96
61,5,Sevilla,True,218199.5
88,1,Sevilla,False,235830.72
267,1,Valencia,False,358988.56
155,5,Bilbao,False,247011.94
284,4,Sevilla,True,255197.16
63,5,Bilbao,False,160775.63
108,2,Bilbao,True,348840.34
182,2,Bilbao,True,305049.28
43,3,Sevilla,False,314016.09
141,1,Valencia,False,252860.36
165,1,Sevilla,True,304999.29
101,4,Bilbao,False,272256.81
87,5,Valencia,True,286791.34
280,2,Bilbao,False,240868.42
292,1,Madrid,False,161566.72
170,5,Bilbao,False,311731.26
273,3,Bilbao,True,133902.42
166,4,Sevilla,True,235603.8
289,3,Bilbao,True,237728.65
51,4,Sevilla,True,187428.39
197,5,Sevilla,False,286787.39
50,1,Madrid,False,237980.22
173,3,Valencia,True,223787.9
269,5,Valencia,True,281190.5
256,5,Sevilla,False,221405.26
95,5,Sevilla,True,333338.8
209,3,Bilbao,False,271087.3
83,2,Valencia,True,221540.02
104,5,Bilbao,True,133344.1
150,5,Valencia,True,171534.81
282,4,Valencia,True,
214,3,Valencia,True,246963.76
154,5,Bilbao,True,233012.5
93,2,Bilbao,False,348595.1
241,5,Bilbao,True,173041.05
193,4,Sevilla,False,214860.53
170,5,Valencia,True,221644.74
210,4,Sevilla,True,285180.24
87,1,Madrid,False,210187.89
277,1,Madrid,False,213194.93
116,1,Bilbao,True,153691.04
164,5,Madrid,False,293760.96
189,4,Madrid,False,298368.36
85,5,Valencia,False,221417.4
77,2,Bilbao,True,259800.4
163,3,Bilbao,True,172441.23
43,2,Valencia,False,221691.21
197,4,Sevilla,True,332677.06
152,1,Madrid,False,258143.84
102,4,Sevilla,True,388621.81
238,4,Madrid,False,202768.44
124,4,Valencia,False,284817.07
199,5,Sevilla,False,
94,5,Sevilla,False,283949.07
124,1,Sevilla,True,249567.32
202,5,Valencia,False,216328.11
226,3,Bilbao,True,197942.99
206,5,Bilbao,False,433962.2
165,2,Sevilla,False,245359.3
105,1,Madrid,False,129000.36
299,4,Bilbao,True,211083.96
276,1,Bilbao,False,290682.38
241,3,Valencia,False,219999.49
115,4,Sevilla,False,331626.77
255,4,Valencia,False,310143.9
190,1,Sevilla,True,240859.68
107,3,Bilbao,False,221667.04
243,1,Sevilla,False,
79,5,Valencia,False,208002.01
190,3,Sevilla,False,161611.42
91,3,Madrid,True,322263.78
59,3,Sevilla,True,345442.05
152,5,Madrid,False,174631.72
156,4,Bilbao,True,179099.02
173,3,Bilbao,True,143889.29
41,4,Sevilla,False,192168.75
90,1,Valencia,False,63619.79
61,2,Madrid,True,181463.26
242,4,Valencia,False,327814.92
52,5,Bilbao,False,
265,2,Valencia,True,301275.05
95,3,Valencia,False,220661.86
122,3,Sevilla,True,355640.04
127,5,Sevilla,True,261953.08
172,4,Madrid,False,227079.86
134,3,Valencia,False,403145.44
194,1,Madrid,False,230531.69
138,3,Sevilla,True,176726.6
227,1,Sevilla,False,262114.6
