size_m2,bedrooms,age_years,distance_km,garden_m2,price
113.8,3.0,20.4,6.25,17.3,145145.0
106.0,1.0,5.0,7.41,8.5,113967.0
129.2,5.0,27.8,2.3,16.9,198860.0
113.1,3.0,19.8,15.53,106.1,154075.0
93.9,4.0,7.6,5.84,3.5,120076.0
120.8,5.0,1.8,13.56,34.1,180905.0
149.1,4.0,1.2,5.34,8.0,225632.0
138.4,4.0,20.6,7.08,9.2,181437.0
88.9,5.0,6.1,12.74,1.3,113019.0
72.0,5.0,3.6,9.22,29.0,119085.0
91.3,3.0,17.2,8.77,0.7,110473.0
111.2,3.0,47.3,9.06,0.8,112627.0
40.2,4.0,23.3,2.54,20.0,68837.0
103.4,5.0,29.2,6.44,3.1,142939.0
72.6,3.0,22.6,4.17,24.1,102244.0
88.0,5.0,29.4,8.79,5.0,110993.0
93.7,2.0,3.9,5.82,50.0,129873.0
100.5,4.0,14.8,7.82,0.2,122956.0
122.3,1.0,23.1,7.69,3.5,144823.0
141.3,5.0,19.8,7.85,8.2,197974.0
106.1,2.0,17.7,7.86,7.1,131293.0
151.0,4.0,12.0,5.39,7.1,219945.0
90.0,1.0,16.9,3.78,0.1,102978.0
120.5,2.0,10.7,5.34,12.0,165902.0
137.1,1.0,-9.1,12.29,6.9,169541.0
112.8,3.0,5.7,9.5,14.7,152016.0
87.7,5.0,25.7,10.35,56.0,127998.0
82.3,2.0,38.7,13.52,1.0,53554.0
96.3,2.0,41.8,3.28,9.0,119319.0
116.6,4.0,21.2,10.04,1.1,152512.0
79.7,1.0,30.7,3.7,44.8,105125.0
103.7,1.0,30.9,6.66,1.0,105363.0
105.2,2.0,11.7,9.94,3.3,113818.0
126.2,3.0,-0.4,14.46,17.8,158672.0
116.4,3.0,20.4,4.87,0.5,155061.0
120.7,3.0,-1.1,7.62,6.7,168698.0
90.4,1.0,16.2,12.62,17.1,97340.0
106.1,4.0,27.3,2.04,0.8,144326.0
133.5,2.0,3.0,9.45,3.8,169058.0
154.8,4.0,20.4,6.77,14.8,217367.0
72.2,5.0,34.9,4.47,17.7,104663.0
155.4,1.0,24.3,8.59,12.7,178167.0
150.4,2.0,26.3,10.38,11.6,180525.0
133.4,4.0,30.9,4.35,10.6,176563.0
117.9,1.0,40.8,9.52,4.5,114185.0
100.6,3.0,21.8,8.69,4.6,117979.0
153.7,2.0,34.8,3.03,10.3,181459.0
168.8,4.0,19.2,14.21,15.5,223418.0
164.0,4.0,13.4,12.36,37.5,213579.0
149.5,4.0,23.8,4.56,3.9,194625.0
120.7,2.0,12.7,5.65,34.0,170879.0
73.8,3.0,13.1,11.08,24.7,90583.0
109.9,5.0,12.7,6.02,10.1,153994.0
129.7,4.0,-7.5,0.64,29.0,214203.0
71.3,4.0,21.3,12.2,0.4,73118.0
121.9,3.0,4.8,8.04,6.5,162616.0
122.9,3.0,18.7,15.63,2.6,140095.0
130.9,3.0,37.4,9.43,2.7,135498.0
74.5,4.0,13.7,8.76,11.0,100188.0
90.1,2.0,13.5,19.5,64.4,108878.0
96.9,3.0,36.4,7.31,14.8,108718.0
74.9,2.0,26.6,4.19,18.0,80788.0
162.2,3.0,31.7,8.92,4.4,189748.0
95.1,4.0,15.7,12.54,45.2,125559.0
119.9,4.0,29.0,3.34,3.8,153547.0
102.2,4.0,11.8,4.37,75.5,178167.0
157.5,1.0,11.9,9.8,6.4,178501.0
149.6,1.0,27.2,-4.79,5.9,217870.0
129.0,2.0,12.8,3.63,0.7,156002.0
43.9,5.0,29.2,11.18,1.6,37373.0
111.6,1.0,48.7,5.65,0.3,95644.0
130.5,4.0,-0.2,1.49,3.4,210774.0
140.1,2.0,11.0,15.7,0.3,152921.0
91.5,3.0,33.4,2.36,5.2,102557.0
