zona,antiguedad,metros,satisfaccion
5,29,95.4,3
4,10,83.7,5
4,31,84.9,1
5,32,91.4,2
3,27,127.8,3
4,27,103.9,5
5,12,88.5,4
2,28,75.5,4
1,5,74.1,2
2,25,130.1,5
2,36,102.7,1
5,38,91.7,3
5,11,81.3,2
1,13,62.3,1
3,24,88.3,1
5,15,111.8,4
1,29,80.2,5
4,8,84.3,2
1,6,84.5,1
3,2,92.7,1
5,18,50.2,1
2,8,84.1,4
2,11,68.6,1
2,36,112.1,4
4,32,70.7,4
2,33,104.4,2
5,23,128.1,2
3,4,82.2,2
3,29,75.0,4
3,24,94.8,5
3,36,89.9,4
3,19,65.2,2
3,6,101.5,4
5,23,140.4,4
5,18,83.5,3
4,26,84.9,1
4,15,63.9,2
4,12,98.0,5
2,5,58.8,3
5,38,62.3,1
3,30,122.0,5
2,18,67.4,3
5,9,117.0,2
1,25,128.1,1
5,16,96.5,3
4,25,103.8,3
1,3,138.8,1
1,7,85.1,5
3,29,75.2,3
1,2,56.2,1
1,27,91.0,1
3,16,127.0,2
5,0,114.0,4
3,30,66.4,4
5,27,68.6,5
5,32,77.4,4
5,35,97.3,5
4,29,84.9,2
3,33,95.4,3
3,4,97.4,4
2,36,82.5,2
3,36,89.0,3
2,27,95.2,4
2,32,87.9,5
5,29,102.6,5
1,35,136.8,2
1,35,104.8,4
1,20,91.4,4
5,32,47.8,5
4,36,99.7,4
5,11,41.3,2
2,1,54.8,4
4,6,111.4,1
2,1,107.7,2
3,17,86.3,3
1,0,47.2,4
4,10,80.7,1
5,10,73.0,4
4,28,105.9,1
1,9,146.4,2
3,37,95.4,1
2,7,70.5,1
5,38,60.7,2
5,22,88.6,5
1,9,85.6,3
3,1,61.2,4
5,12,92.9,2
5,23,61.2,2
4,4,117.8,5
4,6,116.6,4
1,4,117.1,3
4,27,78.1,2
3,3,102.9,5
1,0,86.7,3
2,18,80.3,1
3,12,81.5,5
4,22,57.5,3
3,37,53.9,3
4,34,109.9,2
5,21,85.2,2
4,25,95.4,4
2,32,115.0,2
4,17,46.7,3
