size_m2,bedrooms,city,has_garden,price
200.3,5,Sevilla,False,277065.86
126.6,4,Barcelona,True,218973.86
218.9,3,Madrid,True,329616.76
183.4,5,Barcelona,True,290856.24
50.7,1,Sevilla,False,72886.02
244.6,5,Madrid,True,392189.08
197.5,5,Bilbao,True,303718.7
202.9,3,Barcelona,True,315973.8
58.2,4,Bilbao,False,118876.91
129.1,3,Sevilla,False,192814.68
111.6,2,Barcelona,True,187386.19
233.9,4,Madrid,True,367285.71
171.7,2,Sevilla,True,247623.96
211.0,2,Barcelona,False,296325.83
127.6,3,Madrid,False,219859.05
80.0,5,Bilbao,True,165821.96
152.0,2,Barcelona,True,237662.62
44.0,3,Madrid,False,111233.91
212.1,1,Barcelona,False,286573.99
169.0,1,Barcelona,True,253191.93
196.8,1,Bilbao,True,272770.21
108.0,1,Sevilla,False,143632.23
243.6,5,Madrid,False,372397.21
226.5,5,Madrid,False,354636.66
201.2,5,Sevilla,True,306584.2
72.8,1,Madrid,True,155144.02
132.7,1,Barcelona,False,203599.25
39.6,2,Madrid,False,98557.74
63.9,3,Madrid,False,149150.36
180.3,2,Bilbao,True,256670.04
193.8,3,Madrid,False,301841.57
242.9,1,Madrid,True,351762.5
101.7,4,Bilbao,True,178957.15
111.5,2,Madrid,False,180762.88
133.3,1,Bilbao,False,182104.91
71.7,4,Madrid,False,150223.52
58.6,5,Madrid,False,155135.77
134.7,1,Madrid,True,229170.06
79.9,3,Sevilla,False,125919.51
177.4,5,Sevilla,True,276340.75
126.2,4,Barcelona,True,221781.15
213.2,5,Madrid,False,332684.62
184.1,3,Madrid,False,288742.46
98.7,2,Sevilla,False,144272.1
213.1,4,Madrid,True,348414.83
207.0,1,Sevilla,False,264046.63
115.2,2,Sevilla,True,181290.97
93.4,4,Bilbao,False,159605.69
180.1,4,Barcelona,False,282157.7
60.7,1,Madrid,False,118658.87
74.0,3,Barcelona,True,154527.97
31.6,2,Bilbao,True,80366.14
203.1,3,Sevilla,True,285567.75
176.3,5,Sevilla,False,264831.03
185.1,1,Barcelona,False,263414.9
201.8,5,Madrid,True,337080.24
131.0,3,Bilbao,False,203838.59
155.1,4,Bilbao,False,240394.4
60.8,3,Bilbao,True,122031.68
55.2,2,Bilbao,True,111101.2
177.0,4,Barcelona,False,271340.38
133.6,4,Barcelona,False,222486.18
154.4,1,Madrid,True,242223.58
198.3,4,Bilbao,False,293060.05
169.6,4,Sevilla,False,247384.13
151.8,2,Barcelona,False,227054.82
153.0,5,Bilbao,False,244598.78
96.9,4,Sevilla,False,147389.75
36.8,2,Bilbao,True,77065.4
126.1,1,Bilbao,True,190272.58
77.2,4,Madrid,True,176952.7
119.9,2,Barcelona,False,191103.79
217.7,4,Sevilla,True,308666.43
81.5,3,Bilbao,True,148643.86
42.8,3,Madrid,False,125409.47
91.9,1,Barcelona,True,164406.35
94.6,4,Sevilla,True,168357.28
175.6,1,Bilbao,True,243550.69
152.5,3,Madrid,True,257083.62
202.5,5,Sevilla,True,294303.14
176.1,5,Barcelona,False,282666.98
119.4,5,Madrid,True,239513.55
209.1,5,Sevilla,True,305023.28
66.7,3,Barcelona,False,130773.77
35.0,2,Sevilla,True,74208.66
49.8,5,Barcelona,False,124945.88
188.9,5,Bilbao,False,281970.28
131.6,5,Madrid,False,227513.58
65.5,4,Bilbao,True,140647.1
140.2,1,Madrid,True,232045.1
63.5,3,Sevilla,False,108954.88
183.2,3,Barcelona,True,273425.04
128.2,5,Barcelona,False,218803.16
113.8,2,Madrid,True,210754.11
96.3,2,Sevilla,True,139709.22
168.7,1,Madrid,False,248656.99
109.6,5,Sevilla,False,175618.53
49.3,4,Sevilla,False,105162.43
56.0,1,Bilbao,False,86777.99
241.6,3,Sevilla,True,337960.75
229.9,3,Barcelona,False,332692.6
183.9,3,Sevilla,False,263903.81
